Kood,Vanem,Tegevusala tekst,SIIA  KUULUB,SIIA KUULUB VEEL,SIIA EI KUULU,ERIALALIIDUD,ON ERINÕUDEID?
452,45,Mootorsõidukite hooldus ja remont,,,,Eesti Kaitsetööstuse Liit,EI
4520,452,Mootorsõidukite hooldus ja remont,,,,,JAH
45201,4520,Mootorsõidukite hooldus ja remont,"− mehaaniliste rikete remont 
− elektriliste rikete remont
− elektroonilise sissepritsesüsteemi remont
− mootorsõidukite osade remont 
− korraline hooldus 
− kereremont
− värvimine 
− tuuleklaaside ja akende remont 
− mootorsõidukite istmete remont 
− rehvide ja sisekummide remont, paigaldamine või vahetamine
− mootorsõidukite korrosioonitõrje
− lisaseadmete ja -varustuse paigaldamine","− autode teipimine
− autoalarmide paigaldus
− treilerite ja pooltreilerite hooldus ning remont
− mootorratastele spetsiaalne tehnoabi
− autodele elektriliste seadmete paigaldus
− tehnilist olukorda näitavate seadmete lisamine igat liiki mootorsõidukitele
− autoklaaside toonimine
− autohaagiste, autosuvilate remont
− mootorsõidukite konserveerimine ja restaureerimine","rehvide protekteerimine ja taastamine, vt 22111
autoabi, pukseerimine, vt 52219",,JAH
45202,4520,Autopesu jms teenindus,"− mootorsõidukite pesemine, poleerimine jms",,,,EI
453,45,Mootorsõidukite osade ja lisaseadmete müük,"Siia gruppi kuulub mootorsõidukite osade ja varuosade, tööriistade, lisaseadmete ja -varustuse jms hulgi- ja jaemüük.",,,,EI
4531,453,Mootorsõidukite osade ja lisaseadmete hulgimüük,,,,,EI
45311,4531,Mootorsõidukite osade ja lisaseadmete hulgimüük,"− rehvide ja sisekummide hulgimüük
− mootorsõidukite osade ja lisaseadmete hulgimüük","− mootorsõidukite osade vahendus
− kasutatud rehvide hulgimüük",,,EI
4532,453,Mootorsõidukite osade ja lisaseadmete jaemüük,,,,,EI
45321,4532,Mootorsõidukite osade ja lisaseadmete jaemüük,"− mootorsõidukite osade ja lisaseadmete, k.a rehvide ja sisekummide jaemüük spetsialiseeritud kauplustes, kioskites ning turgudel, k.a Interneti- ja postimüük",− kasutatud rehvide jaemüük,"mootorkütuse jaemüük, vt 47301",,EI
454,45,"Mootorrataste, nende osade ja lisaseadmete müük, hooldus ja remont",,,,,EI
4540,454,"Mootorrataste, nende osade ja lisaseadmete müük, hooldus ja remont",,,,,JAH
45401,4540,"Mootorrataste, nende osade ja lisaseadmete müük, hooldus ja remont","− mootorrataste, k.a mopeedide hulgi- ja jaemüük
− mootorrataste osade ja lisaseadmete hulgi- ja jaemüük, k.a vahendajate tegevus ja postimüük
− mootorrataste hooldus ja remont",− mootorrataste konserveerimine ja restaureerimine,"jalgrataste, nende osade ja lisaseadmete hulgimüük, vt 46492 
jalgrataste, nende osade ja lisaseadmete jaemüük, vt 47641
mootorrataste rentimine, vt 77399
jalgrataste remont ja hooldus, vt 95291",,JAH
46,G,"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad","Osa 46 hõlmab nii riigisisest kui ka rahvusvahelist hulgimüüki (import/eksport) omal kulul, vahendustasu eest või lepingu alusel (vahenduskaubandus).",,"mootorsõidukite, haagissuvilate ja mootorrataste hulgimüük, vt 451, 454
mootorsõidukite lisaseadmete hulgimüük, vt 45311, 45401
kaupade üürimine ja rentimine, vt 77
tahkete kaupade pakendamine ning vedelate ja gaasiliste kaupade villimine, k.a segamine ja filtreerimine kolmandate osapoolte jaoks, vt 82921",,EI
461,46,Hulgimüük vahendustasu või lepingu alusel,"− vahendajate, kaubamaaklerite jt hulgikauplejate tegevus, kes müüvad teiste nimel ja teiste kulul
− nende isikute tegevus, kes viivad kokku müüjad ja ostjad või korraldavad äritehinguid teise lepingupoole nimel, k.a Interneti kaudu
− ning hulgimüük oksjonite kaudu, k.a Interneti-oksjonid",,,,EI
4611,461,"Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete vahendamine",,,,,JAH
46111,4611,"Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete vahendamine","− elusloomade vahendamine
− taimede ja lillede vahendamine
− põllumajandustoorme vahendamine
− tekstiilitoorme vahendamine
− pooltoodete vahendamine
− kalapüügiõiguse vahendamine vahendustasu või lepingu alusel","− teravilja vahendamine
− toornaha vahendamine","hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,JAH
4612,461,"Kütuste, maakide, metallide ja tööstuskemikaalide vahendamine",,,,Eesti Õliühing,EI
46121,4612,"Kütuste, maakide, metallide ja tööstuskemikaalide vahendamine","− tahke-, vedel- ja gaaskütuse vahendamine
− metallimaakide ja metalli esmasvormide vahendamine
− metallide vahendamine
− tööstuskemikaalide (k.a väetised) ja agrokeemiatoodete vahendamine",,"hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,EI
4613,461,Puidu ja ehitusmaterjalide vahendamine,,,,Eesti Metsa- ja Puidutööstuse Liit,EI
46131,4613,Puidu ja ehitusmaterjalide vahendamine,"− puidu ja puittoodete vahendamine
− ehitusmaterjalide vahendamine
− raieõiguse vahendamine vahendustasu või lepingu alusel","− värvide, lakkide vahendamine","hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,EI
4614,461,"Masinate, tööstusseadmete, laevade ja õhusõidukite vahendamine",,,,,JAH
46141,4614,"Masinate, tööstusseadmete, laevade ja õhusõidukite vahendamine","− arvutite ja arvutitarkvara vahendamine
− kontorimasinate, elektroonika- ja telekommunikatsiooniseadmete vahendamine
− tööstusseadmete vahendamine
− laevade ja õhusõidukite vahendamine",− päikesepaneelide vahendus,"vahendajad, kes tegelevad mootorsõidukite müügiga, vt 451
mootorsõidukite oksjonimüük, vt 451
hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,JAH
4615,461,"Mööbli, kodutarvete ja rauakaupade vahendamine",,,,Eesti Mööblitootjate Liit,JAH
46151,4615,"Mööbli, kodutarvete ja rauakaupade vahendamine","− mööbli vahendamine
− terariistade ja rauakaupade vahendamine
− audio- ja videotehnika (raadio-, televisiooni- ja videoseadmete) vahendamine
− muude kodutarvete vahendamine",− metalluste vahendamine,"hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,JAH
4616,461,"Tekstiili, rõivaste, jalatsite ja nahktoodete vahendamine",,,,Eesti Karusnahaliit,EI
46161,4616,"Tekstiili, rõivaste, jalatsite ja nahktoodete vahendamine","− lõnga ja kangaste vahendamine 
− rõivaste ja jalatsite vahendamine
− kodutekstiilide vahendamine (nt kardinad jms) 
− karusnaha vahendamine
− nahktoodete vahendamine",,"hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,EI
4617,461,"Toidukaupade, jookide ja tubakatoodete vahendamine",,,,,JAH
46171,4617,"Toidukaupade, jookide ja tubakatoodete vahendamine","− toidukaupade vahendamine
− jookide vahendamine
− tubakatoodete vahendamine",,"hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,JAH
4618,461,Muude kindlate kaupade vahendamine,,,,,JAH
46181,4618,Muude kindlate kaupade vahendamine,"− farmaatsiatoodete ja meditsiinikaupade vahendamine
− parfümeeria, tualett-tarvete ja puhastusmaterjalide vahendamine
− mängude ja mänguasjade vahendamine
− jalgrataste ja spordikaupade vahendamine
− muusikariistade, kellade ja juveeltoodete vahendamine
− foto- ja optikaseadmete vahendamine
− raamatute, ajalehtede, ajakirjade ja kirjatarvete vahendamine
− paberi ja paberikaupade vahendamine
− toorpuidu vahendamine
− jäätmete ja utiili vahendamine","− väärisesemete ja kellade vahendamine
− vanametalli/vanaraua vahendus","hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991
kindlustusagentide tegevus, vt 66221
kinnisvaraagentide tegevus, vt 68311",,JAH
4619,461,Mitmesuguste erinevate kaupade vahendamine,,,,,EI
46191,4619,Mitmesuguste erinevate kaupade vahendamine,,"− üle 5 kaubagrupi vahendus, kus ükski kaubagrupp ei domineeri","hulgimüük oma nimel, vt 462, 463, 464, 465, 466, 467, 469
vahendajad, kes tegelevad jaemüügiga väljaspool kauplusi, vt 47991",,EI
462,46,Põllumajandustoorme ja elusloomade hulgimüük,,,,,EI
4621,462,"Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük",,,,,JAH
46211,4621,"Teravilja, töötlemata tubaka, seemnete ja loomasööda hulgimüük","− teravilja ja seemnete, k.a seemnekartuli hulgimüük
− õliviljade ja õliseemnete hulgimüük
− töötlemata tubaka hulgimüük
− loomasööda ja mujal nimetamata põllumajandustoorme hulgimüük","− taimse või loomse toormaterjali hulgimüük
− loomsete jäätmete hulgimüük
− puuvilla hulgimüük
− toorpiima hulgimüük (piima kokkuostjad)","tekstiilkiudude hulgimüük, vt 46761",,JAH
4622,462,Lillede ja taimede hulgimüük,,,,,JAH
46221,4622,Lillede ja taimede hulgimüük,"− lillede ja lillesibulate hulgimüük
− istikute hulgimüük",,,,JAH
4623,462,Elusloomade hulgimüük,,,,,JAH
46231,4623,Elusloomade hulgimüük,"− elusloomade, k.a lemmikloomade hulgimüük",− võistlushobuste hulgimüük,,,JAH
4624,462,Toor- ja parknaha hulgimüük,,,,,EI
46241,4624,Toor- ja parknaha hulgimüük,− toor- ja parknaha ning töödeldud nahkade hulgimüük,,,,EI
463,46,"Toidukaupade, jookide ja tubakatoodete hulgimüük",,,,,EI
4631,463,Puu- ja köögivilja hulgimüük,,,,,JAH
46311,4631,Puu- ja köögivilja hulgimüük,− värske või töödeldud puu- ja köögivilja hulgimüük,"− pähklite, seente, marjade hulgimüük","värske köögivilja töötlemine: koorimine, tükeldamine, pakendamine; toorsalatite tootmine, vt 10391",,JAH
4632,463,Liha ja lihatoodete hulgimüük,,,,,JAH
46321,4632,Liha ja lihatoodete hulgimüük,"− liha, k.a kodulinnuliha hulgimüük
− lihatoodete, k.a linnulihatoodete hulgimüük",,,,JAH
4633,463,"Piimatoodete, munade, toiduõli ja -rasva hulgimüük",,,,,JAH
46331,4633,"Piimatoodete, munade, toiduõli ja -rasva hulgimüük","− piima ja piimatoodete, nt jogurti, koore, juustu, või jms hulgimüük
− munade ja munatoodete hulgimüük
− taimsete ja loomsete toiduõlide ja -rasvade hulgimüük",− piimapulbri hulgimüük,"jäätise hulgimüük, vt 46361",,JAH
4634,463,Jookide hulgimüük,,,,,JAH
46341,4634,Alkohoolsete jookide hulgimüük,"− alkohoolsete jookide hulgimüük
− vaadiveini pudelitesse villimine ilma veini töötlemise/muundamiseta",,"veini või destilleeritud piiritusjoogi segamine, vt 11011, 11021",,JAH
46342,4634,Muude jookide hulgimüük,"− puu- ja köögiviljamahlade hulgimüük
− mineraalvee hulgimüük
− karastusjookide jm alkoholita jookide hulgimüük",,,,JAH
4635,463,Tubakatoodete hulgimüük,,,,,JAH
46351,4635,Tubakatoodete hulgimüük,,− sigaretipaberi hulgimüük,,,JAH
4636,463,"Suhkru, šokolaadi ja suhkrukondiitritoodete hulgimüük",,,,,JAH
46361,4636,"Suhkru, šokolaadi, kondiitri- ja pagaritoodete hulgimüük","− suhkru, šokolaadi ja suhkrukondiitritoodete hulgimüük
− pagaritoodete hulgimüük
− jäätise ja sorbeti hulgimüük",,,,JAH
4637,463,"Kohvi, tee, kakao ja maitseainete hulgimüük",,,,,JAH
46371,4637,"Kohvi, tee, kakao ja maitseainete hulgimüük",,,,,JAH
4638,463,"Muude toidukaupade hulgimüük, k.a kalad, vähilaadsed ja limused",,,,,JAH
46381,4638,"Kalade, vähilaadsete ja kalatoodete hulgimüük","− kala, vähilaadsete ja limuste hulgimüük",,"töödeldud puu- ja köögivilja hulgimüük, vt 46311",,JAH
46389,4638,Mujal liigitamata toidukaupade hulgimüük,"− homogeenitud valmistoitude ning imiku- ja dieettoitude hulgimüük
− muude valmistoitude hulgimüük
− lemmikloomatoidu hulgimüük
− teraviljatoodete hulgimüük
− nuudlite ja makarontoodete hulgimüük
− soola hulgimüük","− konservide, sojatoodete ja toidulisandite hulgimüük
− mee hulgimüük",,,JAH
4639,463,"Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük",,,,,JAH
46391,4639,"Toidukaupade, jookide ja tubakatoodete spetsialiseerimata hulgimüük","− külmutatud toiduainete spetsialiseerimata hulgimüük
− muude toiduainete, jookide ja tubakatoodete spetsialiseerimata hulgimüük",,,,JAH
464,46,Kodutarvete hulgimüük,"Siia gruppi kuulub kodutarvete, k.a tekstiili hulgimüük.",,,,EI
4641,464,Tekstiiltoodete hulgimüük,,,,,EI
46411,4641,"Kangaste, kodutekstiili ja õmblustarvete hulgimüük","− lõnga hulgimüük
− kangaste hulgimüük
− voodipesu, käterätikute, kardinate jms hulgimüük
− pudukauba hulgimüük (nt nõelad, õmblusniit jms)",− riidest mähkmete hulgimüük,"tekstiilkiudude hulgimüük, vt 46761",,EI
4642,464,Rõivaste ja jalatsite hulgimüük,,,,,EI
46421,4642,Rõivaste ja rõivalisandite hulgimüük,"− rõivaste, k.a spordirõivaste hulgimüük
− rõivalisandite, nt kinnaste, lipsude, trakside jms hulgimüük
− karusnahatoodete hulgimüük
− vihmavarjude hulgimüük","− pealisrõivaste hulgimüük
− alusrõivaste hulgimüük
− nahast rõivaste hulgimüük
− kasutatud rõivaste hulgimüük
− sukkade ja sokkide hulgimüük","juveeltoodete hulgimüük, vt 46481
nahktoodete hulgimüük, vt 46499",Eesti Karusnahaliit,EI
46422,4642,Jalatsite hulgimüük,− jalatsite hulgimüük,− k.a spordijalatsite hulgimüük,"spetsiaalsete spordijalatsite (nt suusasaapad) hulgimüük, vt 46492",,EI
4643,464,Elektriliste kodumasinate hulgimüük,,,,,JAH
46431,4643,Elektriliste kodumasinate hulgimüük,"− elektriliste kodumasinate hulgimüük
− raadio-, televisiooni-, video- ja DVD-seadmete, k.a autoraadiote ja -telerite hulgimüük
− foto- ja optikakaupade hulgimüük
− elektriliste kütteseadmete hulgimüük
− salvestusega heli- ja videolintide, CD-de ja DVD-de hulgimüük","− juhtmete, lülitite jms kodumajapidamises kasutatavate elektritarvete hulgimüük
− külmikute ja sügavkülmikute hulgimüük
− nõudepesumasinate, pesumasinate ja kuivatite hulgimüük
− toiduvalmistamiseks ja soojendamiseks mõeldud seadmete hulgimüük
− kodus kasutatavate tolmuimejate ja õmblusmasinate hulgimüük
− muude koduskasutatavate väikeste elektriseadmete ja kodumasinate hulgimüük
− mikroskoopide ja binoklite jm optikakaupade hulgimüük
− E-sigarettide hulgimüük
− eletrikaminate hulgimüük
− veepumpade (v.a tööstuslike pumpade) hulgimüük","tühjade (salvestuseta) heli- ja videolintide, CDde ja DVDde hulgimüük, vt 46521
õmblusmasinate (tööstuslike) hulgimüük, vt 46641",,JAH
4644,464,Portselani ja klaastoodete ning puhastusvahendite hulgimüük,,,,,JAH
46441,4644,Portselani ja klaastoodete hulgimüük,− portselani ja klaastoodete hulgimüük,"− keraamiliste majapidamis- ja dekoratiivesemete hulgimüük
− fajanssnõude hulgimüük",,,JAH
46442,4644,Puhastusvahendite hulgimüük,− puhastusvahendite hulgimüük,"− pesemis-ja poleerimisvahendite hulgimüük
− õhuvärskendajate hulgimüük",,,EI
4645,464,Parfüümide ja kosmeetika hulgimüük,,,,,JAH
46451,4645,Parfüümide ja kosmeetika hulgimüük,"− parfümeeria, kosmeetika ja seebi hulgimüük","− muude tualetivahendite hulgimüük
− hammaste valgendamiseks või pleegitamiseks ettenähtud toodete hulgimüük hambaarstidele",,,JAH
4646,464,Farmaatsiatoodete hulgimüük,,,,,JAH
46461,4646,Ravimite ja muude apteegikaupade hulgimüük,"− ravimite hulgimüük
− kleepplaastrite hulgimüük
− esmaabipakkide jms hulgimüük",,,,JAH
46462,4646,Meditsiiniseadmete ja kirurgiriistade ning ortopeediliste abivahendite hulgimüük,"− instrumentide ja seadmete müük arstidele ja haiglatele
− ortopeediaseadmete ja ortopeediliste abivahendite hulgimüük","− meditsiinilise mööbli hulgimüük
− prillide (optiliste) , prilliraamide ja läätsede hulgimüük",,,JAH
4647,464,"Mööbli, vaipade ja valgustite hulgimüük",,,,Eesti Mööblitootjate Liit,EI
46471,4647,"Mööbli, vaipade ja valgustite hulgimüük","− kodumööbli hulgimüük
− vaipade hulgimüük
− valgustite hulgimüük",,"kontorimööbli hulgimüük, vt 46651",,EI
4648,464,Kellade ja ehete hulgimüük,,,,,JAH
46481,4648,Kellade ja ehete hulgimüük,,,,,JAH
4649,464,Muude kodutarvete hulgimüük,,,,,JAH
46491,4649,"Paberi, kirjatarvete, raamatute ja ajakirjandusväljaannete hulgimüük","− kirjatarvete hulgimüük
− raamatute hulgimüük
− ajakirjade ja ajalehtede hulgimüük",− postkaartide hulgimüük,,,EI
46492,4649,Spordikaupade hulgimüük (v.a spordirõivad ja vabaajajalatsid),"− sporditarvete, k.a spetsiaalsete spordijalatsite (nt suusasaapad) hulgimüük
− jalgrataste, nende osade ja lisaseadmete hulgimüük","− veespordivarustuse, k.a lõbusõidupaatide hulgimüük
− golfijalatsite hulgimüük
− kalaspordivarustuse hulgimüük
− muu spordi- ning vabaõhumänguvahendite ja -varustuse hulgimüük
− kergejõustikuvahendite hulgimüük",,,JAH
46493,4649,Mängude ja mänguasjade hulgimüük,− mängude ja mänguasjade hulgimüük,− videomängude hulgimüük,,,EI
46499,4649,Mujal liigitamata kodutarvete hulgimüük,"− muusikariistade hulgimüük
− punutiste, puit- ja korktoodete hulgimüük 
− nahktoodete ja reisitarvete hulgimüük
− muude kodu- ja tarbekaupade hulgimüük
− müntide ja markide hulgimüük
− suveniiride ja kunstikaupade hulgimüük","− mitteelektriliste majatarvete hulgimüük
− kodus kasutatavate rauakaupade hulgimüük
− söögiriistade ja metallnõude hulgimüük
− terariistade ja kodumajapidamises kasutatavate metalltoodete hulgimüük
− mittesteriilsete kummikinnaste hulgimüük
Muude tarbekaupade hulgimüük:− jahinduskaubad− telgid− parukad− mähkmed, sidemed− salvrätid, WC paber− pildiraamid− karikate ja medalite hulgimüük",,Eesti Metsa- ja Puidutööstuse Liit,JAH
465,46,Info- ja sidetehnika hulgimüük,"Siia gruppi liigitatakse info- ja sidetehnoloogiliste seadmete, st arvutite, telekommunikatsiooni-seadmete ning nende osade hulgimüük.",,,,EI
4651,465,"Arvutite, arvuti välisseadmete ja tarkvara hulgimüük",,,,,EI
46511,4651,"Arvutite, arvuti välisseadmete ja tarkvara hulgimüük","− arvutite ja arvuti välisseadmete hulgimüük
− tarkvara hulgimüük",,"elektrooniliste koostisosade hulgimüük, vt 46521
kontorimasinate ja -seadmete hulgimüük (v.a arvutid ja arvuti välisseadmed), vt 46661",,EI
4652,465,Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük,,,,,EI
46521,4652,Elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgimüük,"− elektronlampide ja elektronkiiretorude hulgimüük
− pooljuhtseadmete hulgimüük
− mikrokiipide ja integraallülituste hulgimüük
− trükilülituste hulgimüük
− tühjade (salvestuseta) heli- ja videolintide, magnet- ja optiliste ketaste (CD-d, DVD-d) hulgimüük
− telefoni- ja sideseadmete ning nende osade hulgimüük
− häire- ja valvesignalisatsiooniseadmete hulgimüük","− mootorsõidukite navigatsiooniseadmete (GPS, GPR) hulgimüük
− USB mälupulkade hulgimüük
− mobiiltelefonide hulgimüük
− mikroskeemide hulgimüük","salvestusega heli- ja videolintide, CDde ja DVDde hulgimüük, vt 46431
arvutite ja arvuti välisseadmete hulgimüük, vt 46511",,EI
466,46,"Muude masinate, seadmete ja lisaseadmete hulgimüük","Siia gruppi kuulub tööstuslike erimasinate, -seadmete ja lisaseadmete ning üldmasinate hulgimüük.",,,,EI
4661,466,"Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük",,,,,JAH
46611,4661,"Põllumajandusmasinate, -seadmete ja lisaseadmete hulgimüük","− põllumajandusmasinate ja -seadmete hulgimüük:
− sahad, sõnnikulaoturid, külvikud
− viljakombainid
− rehepeksumasinad
− lüpsimasinad
− linnukasvatus- ja mesindusseadmed
− põllumajandustraktorid ja metsatraktorid
− muruniidukite hulgimüük",,,,JAH
4662,466,Tööpinkide hulgimüük,,,,,EI
46621,4662,Tööpinkide hulgimüük,"− puidutööpinkide hulgimüük
− metallitööpinkide hulgimüük
− muude tööpinkide hulgimüük
− programmjuhtimisega tööpinkide hulgimüük","− elektrikäsitööriistade hulgimüük
− puidutööseadmete hulgimüük",,,EI
4663,466,Kaevandus- ja ehitusmasinate hulgimüük,,,,,EI
46631,4663,Kaevandus- ja ehitusmasinate hulgimüük,,"− kaevandus-ja ehitusseadmete hulgimüük
− betoonist rakiste hulgimüük",,,EI
4664,466,"Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük",,,,,EI
46641,4664,"Tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük","− tekstiilkiudude ja -lõnga ettevalmistamisseadmete, ketrus-, kudumis- ja silmuskudumismasinate hulgimüük
− riide- ja nahatöötlusseadmete hulgimüük
− programmjuhtimisega tekstiilitööstus-, õmblus- ja kudumismasinate hulgimüük",,,,EI
4665,466,Kontorimööbli hulgimüük,,,,,EI
46651,4665,Kontorimööbli hulgimüük,"− toolide ja istmete hulgimüük
− kauplusemööbli hulgimüük (nt letid, vitriinid, riiulid jms) 
− laboripinkide, -toolide jm laborimööbli (nt kapid ja lauad) hulgimüük
− kiriku-, kooli- ja restoranimööbli hulgimüük
− dekoratiivsete restoranikärude hulgimüük (nt magustoidukärud jms)",− laoriiulite hulgimüük,,,EI
4666,466,Muude kontorimasinate ja -seadmete hulgimüük,,,,,EI
46661,4666,Muude kontorimasinate ja -seadmete hulgimüük,− kontorimasinate ja -seadmete hulgimüük (v.a arvutid ja arvuti välisseadmed),"− kirjutusmasinate hulgimüük
− printeri tahmakassettide hulgimüük
− kassaaparaatide hulgimüük ja müügijärgne teenindus","arvutite ja arvuti välisseadmete hulgimüük, vt 46511
elektrooniliste koostisosade, telefoni- ja sideseadmete hulgimüük, vt 46521",,EI
4669,466,Muude masinate ja seadmete hulgimüük,,,,,JAH
46691,4669,Tõste- ja teisaldusseadmete ja -masinate ning nende varuosade hulgimüük (k.a konteinerid),,− spetsiaalselt transpordivahenditele kohandatud konteinerite hulgimüük,,,EI
46692,4669,"Elektrimaterjalide, -tarvikute ja -seadmete hulgimüük, sh kaablid","− tööstusrobotite hulgimüük
− tööstuses kasutatavate elektrijuhtmete, lülitite ja muu installatsioonimaterjali hulgimüük
− muude elektrimasinate ja -seadmete, nt elektrimootorite, trafode hulgimüük","− tööstuslike patareide hulgimüük
− patareide hulgimüük
− päikesepaneelide hulgimüük",,,EI
46693,4669,Toiduainetööstus- ja kaubandusseadmete hulgimüük,,"− toiduaine-, joogi- ja tubakatööstusmasinate hulgimüük
− pakkemasinate hulgimüük
− pakkematerjalide (ka kaubaalused) hulgimüük",,,EI
46699,4669,Muude üld- ja eriotstarbeliste masinate ja seadmete hulgimüük,"− laevade ja paatide hulgimüük
− rongi- ja trammivagunite ning vedurite hulgimüük
− lennu- ja kosmoseaparaatide, aeronautikaseadmete ja -varustuse hulgimüük
− muude transpordivahendite hulgimüük (v.a mootorsõidukid, mootorrattad ja jalgrattad)
− mujal liigitamata tööstusmasinate hulgimüük (v.a kaevandus-, ehitus- ja tekstiilitööstusmasinad)
− mõõtevahendite ja -seadmete hulgimüük","− masinate ja seadmete koosteosade hulgimüük
− prügikonteinerite hulgimüük
− trükimasinate hulgimüük
− hüdraulika-pneumaatika seadmete hulgimüük
− tulekustutite hulgimüük
− laskemoona ja relvade hulgimüük (loaga reguleeritud)
− jahinduskaupade hulgimüük
− lemmikloomatarvete hulgimüük","mootorsõidukite, treilerite ja haagissuvilate hulgimüük, vt 451
mootorsõidukite osade hulgimüük, vt 45311
mootorrataste hulgimüük, vt 45401
jalgrataste hulgimüük, vt 46492",,JAH
467,46,Muu spetsialiseeritud hulgimüük,"Eespool toodud gruppides liigitamata toodete spetsialiseeritud hulgimüük, nt vahetoodete hulgimüük (v.a põllumajanduslikud vahetooted).",,,,EI
4671,467,"Tahke-, vedel- ja gaaskütuse jms toodete hulgimüük",,,,Eesti Õliühing,JAH
46711,4671,Tahkekütuse hulgimüük,"− küttepuude, kivisöe, pruunsöe, põlevkivi jm tahkekütuse hulgimüük","− küttegraanulite hulgimüük
− pelletite hulgimüük
− vesipiibu söe hulgimüük",,,EI
46712,4671,Mootorikütuse hulgimüük,"− diislikütuse, autobensiini, k.a lennukibensiini hulgimüük
− määrdeainete ja mootoriõlide hulgimüük","− laevade punkerdamine
− muude määrdeõlide, -rasvade  ja rafineeritud naftatoodete hulgimüük",,,JAH
46719,4671,Muu vedel- ja gaaskütuse jms hulgimüük,"− toornafta, toorõli, kerge ja raske kütteõli ning petrooleumi hulgimüük 
− veeldatud naftagaaside, butaani ja propaani hulgimüük",,,,JAH
4672,467,Metallide ja metallimaakide hulgimüük,,,,,JAH
46721,4672,Metallide ja metallimaakide hulgimüük,"− raudmetalli- ja mitteraudmetallimaakide hulgimüük
− raudmetallide ja mitteraudmetallide esmavormide hulgimüük 
− raudmetallist ja mitteraudmetallist mujal liigitamata pooltoodete hulgimüük
− kulla ja teiste väärismetallide hulgimüük","− mustmetalli hulgimüük
− raudteerööbaste hulgimüük","metallijäätmete hulgimüük, vt 46771",,JAH
4673,467,"Puidu, ehitusmaterjalide ja sanitaarseadmete hulgimüük",,,,Eesti Metsa- ja Puidutööstuse Liit,JAH
46731,4673,Puidu ja puidu esmatöötlustoodete hulgimüük,"− töötlemata puidu hulgimüük
− esmatöödeldud puittoodete hulgimüük
− raieõiguse müük (metsamaata)",− metsa- ja saematerjalide hulgimüük,,,JAH
46732,4673,Sanitaarseadmete jm ehitusmaterjalide hulgimüük,"− värvi ja laki hulgimüük
− ehitusmaterjalide hulgimüük (nt liiv, kruus, savi, tsement jne)
− tapeedi ja põrandakattematerjalide hulgimüük
− lehtklaasi hulgimüük
− sanitaarseadmete hulgimüük (nt vannid, kraanikausid, klosetipotid jms)
− kokkupandavate ehitiste hulgimüük","− telliskivide, plokkide ja ehituskivide hulgimüük
− uste, akende jm ehituspuusepatoodete hulgimüük
− kunstmuru hulgimüük
− parketi, vineerplaatide hulgimüük
− plastiktorude hulgimüük
− ehituspuusepatoodete hulgimüük",,,EI
4674,467,"Rauakaupade, veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük",,,,,EI
46741,4674,Veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük,"− toruliitmike ja kinnitusvahendite (klambrite) hulgimüük
− veekuumutite/boilerite hulgimüük
− sanitaarseadmete tarvikute hulgimüük (nt torud, voolikud, klapid, kraanid, kolmikud, liitmikud, ühendused jms)","− radiaatorite hulgimüük
− tööstulike veepumpade hulgimüük",,,EI
46749,4674,Tööriistade jm rauakaupade hulgimüük,"− rauakaupade ja lukkude hulgimüük
− tööriistade hulgimüük (nt haamrid, saed, kruvikeerajad jms käsitööriistad)","− mööblifurnituuri  hulgimüük
− mitteelektriliste käsitööriistade hulgimüük
− raudteerelsside, metallist tänavavalgustuspostide hulgimüük
− labidate hulgimüük",,,EI
4675,467,Keemiatoodete hulgimüük,,,,Eesti Keemiatööstuse Liit,JAH
